Id,StudentId,Source,PassageName,QuestionId,Answer,CorrectAnswer,AnswerByStudent,ExamDateTime,ExamDate,Age,Grade
1,61,mocktest,bluebird,1,,D,C,2020-08-30 11:56:18,2020-08-30 00:00:00,10,5
2,36,mocktest,bluebird,1,,D,B,2020-08-30 11:53:48,2020-08-30 00:00:00,10,5
3,34,mocktest,bluebird,1,,D,D,2020-08-30 11:54:17,2020-08-30 00:00:00,10,5
4,35,mocktest,bluebird,1,,D,D,2020-08-30 11:51:28,2020-08-30 00:00:00,10,5
5,37,mocktest,bluebird,1,,D,C,2020-08-30 11:58:17,2020-08-30 00:00:00,10,5
6,44,mocktest,bluebird,1,,D,A,2020-08-30 11:57:59,2020-08-30 00:00:00,7,3
7,38,mocktest,bluebird,1,,D,D,2020-08-30 11:58:37,2020-08-30 00:00:00,10,5
8,39,mocktest,bluebird,1,,D,D,2020-08-30 11:58:20,2020-08-30 00:00:00,10,5
9,40,mocktest,bluebird,1,,D,B,2020-08-30 11:58:14,2020-08-30 00:00:00,10,5
10,19,mocktest,bluebird,1,,D,B,2021-06-03 09:37:04,2021-06-03 00:00:00,10,5
11,25,mocktest,bluebird,1,,D,C,2021-06-03 09:41:20,2021-06-03 00:00:00,10,5
12,1,mocktest,bluebird,1,,D,B,2021-06-03 09:44:16,2021-06-03 00:00:00,8,3
13,16,mocktest,bluebird,1,,D,A,2021-06-03 09:44:27,2021-06-03 00:00:00,10,5
14,62,mocktest,bluebird,1,,D,D,2021-06-03 09:44:34,2021-06-03 00:00:00,10,5
15,63,mocktest,bluebird,1,,D,C,2021-06-03 09:45:16,2021-06-03 00:00:00,10,5
16,53,mocktest,bluebird,1,,D,C,2021-06-03 09:47:57,2021-06-03 00:00:00,10,5
17,54,mocktest,bluebird,1,,D,C,2021-06-03 09:48:05,2021-06-03 00:00:00,10,5
18,55,mocktest,bluebird,1,,D,B,2021-06-03 09:48:09,2021-06-03 00:00:00,10,5
19,56,mocktest,bluebird,1,,D,D,2021-06-03 09:48:10,2021-06-03 00:00:00,10,5
20,11,mocktest,bluebird,1,,D,A,2021-06-03 09:48:12,2021-06-03 00:00:00,10,5
21,57,mocktest,bluebird,1,,D,A,2021-06-03 09:48:17,2021-06-03 00:00:00,10,5
22,58,mocktest,bluebird,1,,D,D,2023-06-03 23:42:07,2023-06-03 00:00:00,10,5
23,1,mocktest,bluebird,1,,D,D,2023-06-03 23:46:03,2023-06-03 00:00:00,10,5
24,59,mocktest,bluebird,1,,D,A,2023-06-03 23:49:10,2023-06-03 00:00:00,9,4
25,22,mocktest,bluebird,1,,D,D,2022-05-31 09:17:44,2022-05-31 00:00:00,9,4
26,17,mocktest,bluebird,1,,D,B,2022-05-31 09:17:35,2022-05-31 00:00:00,10,5
27,7,mocktest,bluebird,1,,D,A,2022-05-31 09:17:24,2022-05-31 00:00:00,9,4
28,60,mocktest,bluebird,1,,D,D,2022-05-31 09:17:23,2022-05-31 00:00:00,9,4
29,20,mocktest,bluebird,1,,D,A,2022-05-31 09:17:17,2022-05-31 00:00:00,9,4
30,15,mocktest,bluebird,1,,D,A,2022-05-31 09:17:12,2022-05-31 00:00:00,9,4
31,12,mocktest,bluebird,1,,D,A,2022-05-31 09:17:08,2022-05-31 00:00:00,9,4
32,1,mocktest,bluebird,1,,D,A,2022-05-31 09:16:51,2022-05-31 00:00:00,9,4
33,61,mocktest,bluebird,2,,D,D,2020-08-30 11:56:18,2020-08-30 00:00:00,10,5
34,36,mocktest,bluebird,2,,D,D,2020-08-30 11:53:48,2020-08-30 00:00:00,10,5
35,34,mocktest,bluebird,2,,D,D,2020-08-30 11:54:17,2020-08-30 00:00:00,10,5
36,35,mocktest,bluebird,2,,D,A,2020-08-30 11:51:28,2020-08-30 00:00:00,10,5
37,37,mocktest,bluebird,2,,D,B,2020-08-30 11:58:17,2020-08-30 00:00:00,10,5
38,44,mocktest,bluebird,2,,D,B,2020-08-30 11:57:59,2020-08-30 00:00:00,7,3
39,38,mocktest,bluebird,2,,D,B,2020-08-30 11:58:37,2020-08-30 00:00:00,10,5
40,39,mocktest,bluebird,2,,D,D,2020-08-30 11:58:20,2020-08-30 00:00:00,10,5
41,40,mocktest,bluebird,2,,D,D,2020-08-30 11:58:14,2020-08-30 00:00:00,10,5
42,19,mocktest,bluebird,2,,D,D,2021-06-03 09:37:04,2021-06-03 00:00:00,10,5
43,25,mocktest,bluebird,2,,D,B,2021-06-03 09:41:20,2021-06-03 00:00:00,10,5
44,1,mocktest,bluebird,2,,D,D,2021-06-03 09:44:16,2021-06-03 00:00:00,8,3
45,16,mocktest,bluebird,2,,D,D,2021-06-03 09:44:27,2021-06-03 00:00:00,10,5
46,62,mocktest,bluebird,2,,D,D,2021-06-03 09:44:34,2021-06-03 00:00:00,10,5
47,63,mocktest,bluebird,2,,D,A,2021-06-03 09:45:16,2021-06-03 00:00:00,10,5
48,53,mocktest,bluebird,2,,D,D,2021-06-03 09:47:57,2021-06-03 00:00:00,10,5
49,54,mocktest,bluebird,2,,D,A,2021-06-03 09:48:05,2021-06-03 00:00:00,10,5
50,55,mocktest,bluebird,2,,D,D,2021-06-03 09:48:09,2021-06-03 00:00:00,10,5
51,56,mocktest,bluebird,2,,D,A,2021-06-03 09:48:10,2021-06-03 00:00:00,10,5
52,11,mocktest,bluebird,2,,D,C,2021-06-03 09:48:12,2021-06-03 00:00:00,10,5
53,57,mocktest,bluebird,2,,D,B,2021-06-03 09:48:17,2021-06-03 00:00:00,10,5
54,58,mocktest,bluebird,2,,D,D,2023-06-03 23:42:07,2023-06-03 00:00:00,10,5
55,1,mocktest,bluebird,2,,D,D,2023-06-03 23:46:03,2023-06-03 00:00:00,10,5
56,59,mocktest,bluebird,2,,D,A,2023-06-03 23:49:10,2023-06-03 00:00:00,9,4
57,22,mocktest,bluebird,2,,D,D,2022-05-31 09:17:44,2022-05-31 00:00:00,9,4
