Id,Source,PassageName,Grade,VocabularyAndLanguageComplexity,SentenceStructure,ThemesAndContent,Overall
1,worksheet,1984,3,Extremely Difficult,Extremely Difficult,Extremely Difficult,Extremely Difficult
2,worksheet,1984,4,Difficult,Difficult,Difficult,Difficult
3,worksheet,1984,5,Challenging,Challenging,Difficult,Challenging
4,worksheet,1984,6,Moderate,Challenging,Challenging,Challenging
5,worksheet,alice,3,Difficult,Difficult,Challenging,Difficult
6,worksheet,alice,4,Challenging,Challenging,Moderate,Challenging
7,worksheet,alice,5,Moderate,Moderate,Moderate,Moderate
8,worksheet,alice,6,Easy,Moderate,Easy,Moderate
9,worksheet,anne,3,Challenging,Challenging,Moderate,Challenging
10,worksheet,anne,4,Moderate,Moderate,Moderate,Moderate
11,worksheet,anne,5,Moderate,Moderate,Easy,Moderate
12,worksheet,anne,6,Easy,Easy,Easy,Easy
13,worksheet,baskervilles,3,Difficult,Difficult,Difficult,Difficult
14,worksheet,baskervilles,4,Challenging,Challenging,Challenging,Challenging
15,worksheet,baskervilles,5,Moderate,Moderate,Challenging,Challenging
16,worksheet,baskervilles,6,Moderate,Moderate,Moderate,Moderate
17,worksheet,black beauty,3,Challenging,Challenging,Moderate,Challenging
18,worksheet,black beauty,4,Moderate,Moderate,Moderate,Moderate
19,worksheet,black beauty,5,Moderate,Moderate,Easy,Moderate
20,worksheet,black beauty,6,Easy,Easy,Easy,Easy
21,worksheet,brazilian,3,Difficult,Difficult,Difficult,Difficult
22,worksheet,brazilian,4,Challenging,Challenging,Difficult,Challenging
23,worksheet,brazilian,5,Moderate,Challenging,Challenging,Challenging
24,worksheet,brazilian,6,Moderate,Moderate,Challenging,Moderate
25,worksheet,charlottes,3,Challenging,Challenging,Moderate,Challenging
26,worksheet,charlottes,4,Moderate,Moderate,Moderate,Moderate
27,worksheet,charlottes,5,Moderate,Moderate,Easy,Moderate
28,worksheet,charlottes,6,Easy,Easy,Easy,Easy
29,worksheet,court life,3,Difficult,Difficult,Extremely Difficult,Difficult
30,worksheet,court life,4,Challenging,Challenging,Extremely Difficult,Challenging
31,worksheet,court life,5,Challenging,Moderate,Difficult,Challenging
32,worksheet,court life,6,Moderate,Moderate,Difficult,Moderate
33,worksheet,DORIAN,3,Extremely Difficult,Extremely Difficult,Extremely Difficult,Extremely Difficult
34,worksheet,DORIAN,4,Extremely Difficult,Extremely Difficult,Extremely Difficult,Extremely Difficult
35,worksheet,DORIAN,5,Difficult,Difficult,Difficult,Difficult
36,worksheet,DORIAN,6,Difficult,Challenging,Difficult,Difficult
37,worksheet,dreams of a giant life,3,Challenging,Challenging,Challenging,Challenging
38,worksheet,dreams of a giant life,4,Moderate,Moderate,Moderate,Moderate
39,worksheet,dreams of a giant life,5,Moderate,Moderate,Moderate,Moderate
40,worksheet,dreams of a giant life,6,Easy,Easy,Easy,Easy
41,worksheet,economics,3,Difficult,Difficult,Challenging,Difficult
42,worksheet,economics,4,Challenging,Challenging,Challenging,Challenging
43,worksheet,economics,5,Moderate,Moderate,Moderate,Moderate
44,worksheet,economics,6,Moderate,Moderate,Moderate,Moderate
45,worksheet,fauntleroy,3,Challenging,Challenging,Moderate,Challenging
46,worksheet,fauntleroy,4,Moderate,Moderate,Moderate,Moderate
47,worksheet,fauntleroy,5,Moderate,Moderate,Easy,Moderate
48,worksheet,fauntleroy,6,Easy,Moderate,Easy,Easy
49,worksheet,frankenstein,3,Extremely Difficult,Extremely Difficult,Extremely Difficult,Extremely Difficult
50,worksheet,frankenstein,4,Difficult,Difficult,Difficult,Difficult
51,worksheet,frankenstein,5,Challenging,Challenging,Difficult,Challenging
52,worksheet,frankenstein,6,Moderate,Moderate,Challenging,Challenging
53,worksheet,friendship,3,Extremely Difficult,Extremely Difficult,Extremely Difficult,Extremely Difficult
54,worksheet,friendship,4,Difficult,Difficult,Difficult,Difficult
55,worksheet,friendship,5,Challenging,Challenging,Challenging,Challenging
56,worksheet,friendship,6,Moderate,Moderate,Moderate,Moderate
57,worksheet,frost,3,N/A,N/A,N/A,Extremely Difficult
58,worksheet,frost,4,N/A,N/A,N/A,Extremely Difficult
59,worksheet,frost,5,N/A,N/A,N/A,Extremely Difficult
60,worksheet,frost,6,N/A,N/A,N/A,Extremely Difficult
61,worksheet,gatsby,3,Extremely Difficult,Extremely Difficult,Difficult,Extremely Difficult
62,worksheet,gatsby,4,Difficult,Challenging,Difficult,Difficult
63,worksheet,gatsby,5,Difficult,Challenging,Moderate,Challenging
64,worksheet,gatsby,6,Moderate,Moderate,Moderate,Moderate
65,worksheet,gibson,3,Difficult,Difficult,Challenging,Difficult
66,worksheet,gibson,4,Challenging,Challenging,Moderate,Challenging
67,worksheet,gibson,5,Moderate,Moderate,Moderate,Moderate
68,worksheet,gibson,6,Moderate,Moderate,Easy,Moderate
69,worksheet,growth,3,Difficult,Difficult,Difficult,Difficult
70,worksheet,growth,4,Challenging,Challenging,Challenging,Challenging
71,worksheet,growth,5,Moderate,Moderate,Moderate,Moderate
72,worksheet,growth,6,Moderate,Moderate,Easy,Moderate
73,worksheet,gulliver,3,Difficult,Difficult,Challenging,Difficult
74,worksheet,gulliver,4,Challenging,Challenging,Moderate,Challenging
75,worksheet,gulliver,5,Moderate,Moderate,Moderate,Moderate
76,worksheet,gulliver,6,Moderate,Moderate,Easy,Moderate
77,worksheet,homing pigeon,3,Difficult,Difficult,Challenging,Difficult
78,worksheet,homing pigeon,4,Challenging,Challenging,Moderate,Challenging
79,worksheet,homing pigeon,5,Moderate,Moderate,Moderate,Moderate
80,worksheet,homing pigeon,6,Moderate,Moderate,Easy,Moderate
81,worksheet,honeybees,3,Challenging,Challenging,Moderate,Challenging
82,worksheet,honeybees,4,Moderate,Moderate,Moderate,Moderate
83,worksheet,honeybees,5,Moderate,Moderate,Moderate,Moderate
84,worksheet,honeybees,6,Moderate,Moderate,Easy,Moderate
85,worksheet,huck,3,Difficult,Difficult,Extremely Difficult,Extremely Difficult
86,worksheet,huck,4,Challenging,Challenging,Extremely Difficult,Extremely Difficult
87,worksheet,huck,5,Moderate,Moderate,Difficult,Challenging
88,worksheet,huck,6,Moderate,Moderate,Challenging,Moderate
89,worksheet,i have a dream,3,Difficult,Difficult,Difficult,Difficult
90,worksheet,i have a dream,4,Challenging,Challenging,Challenging,Challenging
91,worksheet,i have a dream,5,Moderate,Moderate,Moderate,Moderate
92,worksheet,i have a dream,6,Moderate,Moderate,Moderate,Moderate
93,worksheet,jabberwocky,3,Difficult,Difficult,Challenging,Difficult
94,worksheet,jabberwocky,4,Challenging,Difficult,Challenging,Challenging
95,worksheet,jabberwocky,5,Challenging,Moderate,Moderate,Moderate
96,worksheet,jabberwocky,6,Moderate,Moderate,Moderate,Moderate
97,worksheet,JANE EYRE,3,Difficult,Difficult,Difficult,Difficult
98,worksheet,JANE EYRE,4,Challenging,Challenging,Challenging,Challenging
99,worksheet,JANE EYRE,5,Moderate,Moderate,Moderate,Moderate
100,worksheet,JANE EYRE,6,Moderate,Moderate,Moderate,Moderate
101,worksheet,jekyll,3,Extremely Difficult,Extremely Difficult,Extremely Difficult,Extremely Difficult
102,worksheet,jekyll,4,Extremely Difficult,Extremely Difficult,Difficult,Extremely Difficult
103,worksheet,jekyll,5,Difficult,Difficult,Difficult,Difficult
104,worksheet,jekyll,6,Difficult,Challenging,Challenging,Difficult
105,worksheet,lion,3,Challenging,Challenging,Moderate,Challenging
106,worksheet,lion,4,Moderate,Moderate,Moderate,Moderate
107,worksheet,lion,5,Moderate,Moderate,Easy,Moderate
108,worksheet,lion,6,Easy,Easy,Easy,Easy
109,worksheet,little women,3,Difficult,Difficult,Difficult,Difficult
110,worksheet,little women,4,Challenging,Challenging,Challenging,Challenging
111,worksheet,little women,5,Moderate,Moderate,Challenging,Moderate
112,worksheet,little women,6,Moderate,Moderate,Moderate,Moderate
113,worksheet,lochinvar,3,Difficult,Difficult,Difficult,Difficult
114,worksheet,lochinvar,4,Challenging,Challenging,Challenging,Challenging
115,worksheet,lochinvar,5,Moderate,Moderate,Moderate,Moderate
116,worksheet,lochinvar,6,Moderate,Moderate,Moderate,Moderate
117,worksheet,lost_in_the_woods,3,Difficult,Difficult,Moderate,Difficult
118,worksheet,lost_in_the_woods,4,Challenging,Challenging,Moderate,Challenging
119,worksheet,lost_in_the_woods,5,Moderate,Moderate,Easy,Moderate
120,worksheet,lost_in_the_woods,6,Moderate,Easy,Easy,Easy
121,worksheet,lost treasure,3,Challenging,Moderate,Moderate,Moderate
122,worksheet,lost treasure,4,Moderate,Moderate,Moderate,Moderate
123,worksheet,lost treasure,5,Moderate,Moderate,Easy,Moderate
124,worksheet,lost treasure,6,Easy,Easy,Easy,Easy
125,worksheet,magic city,3,Challenging,Challenging,Moderate,Challenging
126,worksheet,magic city,4,Moderate,Moderate,Moderate,Moderate
127,worksheet,magic city,5,Moderate,Moderate,Easy,Moderate
128,worksheet,magic city,6,Easy,Easy,Easy,Easy
129,worksheet,marathon,3,Difficult,Difficult,Challenging,Difficult
130,worksheet,marathon,4,Challenging,Challenging,Moderate,Challenging
131,worksheet,marathon,5,Moderate,Moderate,Moderate,Moderate
132,worksheet,marathon,6,Moderate,Moderate,Easy,Moderate
133,worksheet,matilda,3,Difficult,Difficult,Moderate,Difficult
134,worksheet,matilda,4,Challenging,Challenging,Moderate,Challenging
135,worksheet,matilda,5,Challenging,Moderate,Moderate,Challenging
136,worksheet,matilda,6,Moderate,Moderate,Moderate,Moderate
137,worksheet,meg,3,Difficult,Difficult,Difficult,Difficult
138,worksheet,meg,4,Challenging,Challenging,Challenging,Challenging
139,worksheet,meg,5,Moderate,Moderate,Challenging,Moderate
140,worksheet,meg,6,Moderate,Moderate,Moderate,Moderate
141,worksheet,northern_lights,3,Difficult,Difficult,Difficult,Difficult
142,worksheet,northern_lights,4,Challenging,Challenging,Challenging,Challenging
143,worksheet,northern_lights,5,Moderate,Challenging,Moderate,Challenging
144,worksheet,northern_lights,6,Moderate,Moderate,Moderate,Moderate
145,worksheet,nothing gold,3,Challenging,Moderate,Difficult,Difficult
146,worksheet,nothing gold,4,Moderate,Moderate,Difficult,Challenging
147,worksheet,nothing gold,5,Moderate,Moderate,Challenging,Challenging
148,worksheet,nothing gold,6,Moderate,Moderate,Moderately Difficult,Moderate
149,worksheet,NOTRE DAME,3,Difficult,Difficult,Difficult,Difficult
150,worksheet,NOTRE DAME,4,Difficult,Challenging,Challenging,Challenging
151,worksheet,NOTRE DAME,5,Challenging,Moderate,Moderate,Challenging
152,worksheet,NOTRE DAME,6,Moderate,Moderate,Moderate,Moderate
153,worksheet,oliver twist -master,3,Difficult,Difficult,Difficult,Difficult
154,worksheet,oliver twist -master,4,Challenging,Difficult,Challenging,Challenging
155,worksheet,oliver twist -master,5,Challenging,Challenging,Moderate,Challenging
