Id,Source,PassageName,QuestionId,QuestionText,QuestionTypeId,QuestionDifficulty,A,B,C,D,E,IsInvalid,CreatedOn,UpdatedOn
1,mocktest,bluebird,1,The first two lines are repeated four times throughout the poem. What does this  suggest about the bluebird? Option 1: He is determined Option 2: He is a constant bother to the poet. Option 3: He is tough. Option 4: He is monotonous.,2,3,Option 1 only,Option 2 only,Options 1 and 4 only,"Options 1,2 and 3 only",NULL,0,58:14.5,16:30.0
2,mocktest,bluebird,2,"In the stanza 1, the poet says that they are ëtoo toughí for the bluebird. What does this suggest the poet feels?",1,4,Letting the bluebird out would hurt the poet,The bluebird is closely matched to the poet in strength,The bluebird is stronger than the poet,Letting the bluebird out would mean the poet is too weak,NULL,0,58:14.5,16:30.0
3,mocktest,bluebird,3,The poet says ëstay in thereí to the bluebird. This is an example of an imperative clause. What is an imperative clause?,5,5,An important statement,An order or instruction,A request,An exclamation,NULL,0,58:14.5,16:30.0
4,mocktest,bluebird,4,How does the poet stop the bluebird from getting out?,1,3,By commanding the bluebird to stay inside and setting fires,By drowning the bluebird and eating cigarettes,By feeding the bluebird whiskey making him breathe smoke,By soaking the bluebird and choking him with smoke,NULL,0,58:14.5,16:30.0
5,mocktest,bluebird,5,Which of the following best describes how the poet treats the bluebird in stanza 1?,1,4,Gently,Cruelly,Carelessly,Tolerantly,NULL,0,58:14.5,16:30.0
6,mocktest,bluebird,6,The poet says that ëthe whores and the bartenders / and the grocery clerksí do not know about the bluebird. What does this suggest about the poet?,1,5,They are confident and donít care about the opinions of strangers.,They are so insecure that they canít show the truth about their self to strangers.,They are afraid and donít want their close companions to know the truth.,They are conscientious about not bothering the workers.,NULL,0,58:14.5,16:30.0
7,mocktest,bluebird,7,What is the author worried will happen if the bluebird gets out?,1,4,The bluebird will be hurt.,The bluebird will make the poet vulnerable.,The bluebird will become a more successful writer.,The bluebird will leave the poet.,NULL,0,58:14.5,16:30.0
8,mocktest,bluebird,8,What technique is used in the phrase ëblow my book salesí in stanza 2?,5,5,Alliteration,Assonance,Alteration,Personification,NULL,0,58:14.5,16:30.0
9,mocktest,bluebird,9,"In the late part of stanza 2, the lines ëthereís a bluebird in my heart that / wants to get outí repeat again but this time the poet says that they are too ëcleverí instead of ëtoughí. Why do they think this?",1,5,They keep the bluebird hidden in the dark by taking it out at night.,They are tricking the bluebird into staying with them.,They only need to free the bluebird every now and then to keep it quiet.,They prevent people from discovering the bluebird by freeing it when everyone is asleep.,NULL,0,58:14.5,16:30.0
10,mocktest,bluebird,10,"According to the poem, how often does the bluebird escape by itself?",1,3,Never,"Sometimes, but only during the day","Sometimes, but only at night",Often,NULL,0,58:14.5,16:30.0
11,mocktest,bluebird,11,The poet is determined to keep the bluebird hidden. What does this suggest they feel about it?,1,4,protective,indifferent,ashamed,ambivalent,NULL,0,58:14.5,16:30.0
12,mocktest,bluebird,12,What is the poet worried will happen if people see the bluebird?,2,5,Their close friends will no longer respect them.,People will wonder why they havenít got a different bird.,People will know the poet has a bluebird and mess the poet up.,People may think they are weak.,NULL,0,58:14.5,16:30.0
13,mocktest,bluebird,13,How does the bluebird usually feel?,1,4,Sad,Idle,Jubilant,Bored,NULL,0,58:14.5,16:30.0
