Source,PassageName,QuestionId,Grade,Complexity
mocktest,bluebird,1,3,3
mocktest,bluebird,2,3,4
mocktest,bluebird,3,3,5
mocktest,bluebird,4,3,3
mocktest,bluebird,5,3,4
mocktest,bluebird,6,3,5
mocktest,bluebird,7,3,4
mocktest,bluebird,8,3,5
mocktest,bluebird,9,3,5
mocktest,bluebird,10,3,3
mocktest,bluebird,11,3,4
mocktest,bluebird,12,3,5
mocktest,bluebird,13,3,4
mocktest,bluebird,14,3,4
mocktest,bluebird,15,3,5
mocktest,bluebird,16,3,5
mocktest,bluebird,17,3,5
mocktest,bluebird,18,3,4
mocktest,bluebird,19,3,5
mocktest,bluebird,20,3,5
mocktest,bluebird,21,3,5
mocktest,bluebird,22,3,5
mocktest,bluebird,23,3,5
mocktest,bluebird,24,3,4
mocktest,bluebird,25,3,5
mocktest,bluebird,1,4,2
mocktest,bluebird,2,4,3
mocktest,bluebird,3,4,4
mocktest,bluebird,4,4,3
mocktest,bluebird,5,4,3
mocktest,bluebird,6,4,4
mocktest,bluebird,7,4,4
mocktest,bluebird,8,4,5
mocktest,bluebird,9,4,5
mocktest,bluebird,10,4,3
mocktest,bluebird,11,4,4
mocktest,bluebird,12,4,4
mocktest,bluebird,13,4,3
mocktest,bluebird,14,4,3
mocktest,bluebird,15,4,4
mocktest,bluebird,16,4,5
mocktest,bluebird,17,4,4
mocktest,bluebird,18,4,4
mocktest,bluebird,19,4,5
mocktest,bluebird,20,4,5
mocktest,bluebird,21,4,5
mocktest,bluebird,22,4,4
mocktest,bluebird,23,4,5
mocktest,bluebird,24,4,4
mocktest,bluebird,25,4,4
mocktest,bluebird,1,5,2
mocktest,bluebird,2,5,3
mocktest,bluebird,3,5,4
mocktest,bluebird,4,5,2
mocktest,bluebird,5,5,3
mocktest,bluebird,6,5,4
mocktest,bluebird,7,5,3
mocktest,bluebird,8,5,4
mocktest,bluebird,9,5,4
mocktest,bluebird,10,5,2
mocktest,bluebird,11,5,3
mocktest,bluebird,12,5,4
mocktest,bluebird,13,5,3
mocktest,bluebird,14,5,3
mocktest,bluebird,15,5,4
mocktest,bluebird,16,5,4
mocktest,bluebird,17,5,4
mocktest,bluebird,18,5,3
mocktest,bluebird,19,5,4
mocktest,bluebird,20,5,4
mocktest,bluebird,21,5,4
mocktest,bluebird,22,5,4
mocktest,bluebird,23,5,4
mocktest,bluebird,24,5,3
mocktest,bluebird,25,5,4
mocktest,bluebird,1,6,2
mocktest,bluebird,2,6,3
mocktest,bluebird,3,6,3
mocktest,bluebird,4,6,2
mocktest,bluebird,5,6,2
mocktest,bluebird,6,6,3
mocktest,bluebird,7,6,3
mocktest,bluebird,8,6,4
mocktest,bluebird,9,6,4
mocktest,bluebird,10,6,2
mocktest,bluebird,11,6,3
mocktest,bluebird,12,6,3
mocktest,bluebird,13,6,2
mocktest,bluebird,14,6,3
mocktest,bluebird,15,6,4
mocktest,bluebird,16,6,4
mocktest,bluebird,17,6,3
mocktest,bluebird,18,6,3
mocktest,bluebird,19,6,4
mocktest,bluebird,20,6,4
mocktest,bluebird,21,6,4
mocktest,bluebird,22,6,3
mocktest,bluebird,23,6,4
mocktest,bluebird,24,6,3
mocktest,bluebird,25,6,3
mocktest,dorian gray,1,3,3
mocktest,dorian gray,2,3,4
mocktest,dorian gray,3,3,5
mocktest,dorian gray,4,3,5
mocktest,dorian gray,5,3,4
mocktest,dorian gray,6,3,2
mocktest,dorian gray,7,3,3
mocktest,dorian gray,8,3,5
mocktest,dorian gray,9,3,4
mocktest,dorian gray,10,3,4
mocktest,dorian gray,11,3,5
mocktest,dorian gray,12,3,3
mocktest,dorian gray,13,3,4
mocktest,dorian gray,14,3,5
mocktest,dorian gray,15,3,5
mocktest,dorian gray,16,3,5
mocktest,dorian gray,17,3,5
mocktest,dorian gray,18,3,5
mocktest,dorian gray,19,3,3
mocktest,dorian gray,20,3,5
mocktest,dorian gray,21,3,3
mocktest,dorian gray,22,3,4
mocktest,dorian gray,23,3,3
mocktest,dorian gray,24,3,4
mocktest,dorian gray,25,3,5
mocktest,dorian gray,26,3,5
mocktest,dorian gray,27,3,5
mocktest,dorian gray,28,3,4
mocktest,dorian gray,1,4,3
mocktest,dorian gray,2,4,4
mocktest,dorian gray,3,4,4
mocktest,dorian gray,4,4,4
mocktest,dorian gray,5,4,3
mocktest,dorian gray,6,4,2
mocktest,dorian gray,7,4,3
mocktest,dorian gray,8,4,4
mocktest,dorian gray,9,4,4
mocktest,dorian gray,10,4,4
mocktest,dorian gray,11,4,4
mocktest,dorian gray,12,4,3
mocktest,dorian gray,13,4,4
mocktest,dorian gray,14,4,5
mocktest,dorian gray,15,4,5
mocktest,dorian gray,16,4,5
mocktest,dorian gray,17,4,5
mocktest,dorian gray,18,4,5
mocktest,dorian gray,19,4,3
mocktest,dorian gray,20,4,5
mocktest,dorian gray,21,4,3
mocktest,dorian gray,22,4,4
mocktest,dorian gray,23,4,3
mocktest,dorian gray,24,4,4
mocktest,dorian gray,25,4,5
mocktest,dorian gray,26,4,5
mocktest,dorian gray,27,4,5
mocktest,dorian gray,28,4,4
mocktest,dorian gray,1,5,2
mocktest,dorian gray,2,5,3
mocktest,dorian gray,3,5,4
mocktest,dorian gray,4,5,4
mocktest,dorian gray,5,5,3
mocktest,dorian gray,6,5,2
mocktest,dorian gray,7,5,2
mocktest,dorian gray,8,5,4
mocktest,dorian gray,9,5,3
mocktest,dorian gray,10,5,3
mocktest,dorian gray,11,5,4
mocktest,dorian gray,12,5,3
mocktest,dorian gray,13,5,3
mocktest,dorian gray,14,5,4
mocktest,dorian gray,15,5,4
mocktest,dorian gray,16,5,5
mocktest,dorian gray,17,5,4
mocktest,dorian gray,18,5,4
mocktest,dorian gray,19,5,3
mocktest,dorian gray,20,5,4
mocktest,dorian gray,21,5,2
mocktest,dorian gray,22,5,3
mocktest,dorian gray,23,5,3
mocktest,dorian gray,24,5,3
mocktest,dorian gray,25,5,4
mocktest,dorian gray,26,5,5
mocktest,dorian gray,27,5,4
mocktest,dorian gray,28,5,3
mocktest,dorian gray,1,6,2
mocktest,dorian gray,2,6,3
mocktest,dorian gray,3,6,3
mocktest,dorian gray,4,6,3
mocktest,dorian gray,5,6,3
mocktest,dorian gray,6,6,2
mocktest,dorian gray,7,6,2
mocktest,dorian gray,8,6,3
mocktest,dorian gray,9,6,3
mocktest,dorian gray,10,6,3
mocktest,dorian gray,11,6,3
mocktest,dorian gray,12,6,2
mocktest,dorian gray,13,6,3
mocktest,dorian gray,14,6,4
mocktest,dorian gray,15,6,4
mocktest,dorian gray,16,6,4
mocktest,dorian gray,17,6,4
mocktest,dorian gray,18,6,4
mocktest,dorian gray,19,6,2
mocktest,dorian gray,20,6,4
mocktest,dorian gray,21,6,2
mocktest,dorian gray,22,6,3
mocktest,dorian gray,23,6,2
mocktest,dorian gray,24,6,3
mocktest,dorian gray,25,6,4
mocktest,dorian gray,26,6,4
mocktest,dorian gray,27,6,4
mocktest,dorian gray,28,6,3
mocktest,jane eyre,1,3,1
mocktest,jane eyre,2,3,3
