Source,PassageName,QuestionId,Question,A,B,C,D,E
worksheet,1984,1,What time of the day is the story set?,Early afternoon,Late afternoon,Late morning,Early evening,NULL
worksheet,1984,2,Which word best describes the wind outside?,Terrifying,Dreadful,Disgusting,Aggressive,NULL
worksheet,1984,3,Which one of these statements is true?,The man on the poster is 45 years old,The hallway smelt of fried cabbage and boiled mats,The poster barely fit on the wall,The man on the poster had a thin moustache,NULL
worksheet,1984,4,Why did Winston ignore the elevator?,It rarely works,It is often busy,It is often locked,It only works at certain times of the year,NULL
worksheet,1984,5,What direction do the posters on each floor face?,Towards the wall,Towards the elevator door,Towards to the stairs,Towards the window,NULL
worksheet,1984,6,Which one of these statements are false?,A condition on Winstonís ankle hinders his ability to walk to his flat,The elevator is not working in order to prepare for something,Winston felt paranoid by the poster,The eyes of the poster are designed to appear like they follow you,NULL
worksheet,1984,7,What was the voice in Winstonís flat speaking about?,Some numbers related to the production of pig-iron,Some people responsible for the production of pig-iron,Some shapes that you can produce pig-iron in,It is not fully explained,NULL
worksheet,1984,8,What word best replaces ëdistinguishableí on line 21?,Recognisable,Illuminated,Enunciated,Inspiring,NULL
worksheet,1984,9,Which description best describes Winston?,Injured and weak,Optimistic and hopeful,Ambitious and overworked,Depressed and bored,NULL
worksheet,1984,10,How does the description of the outside world affect the reader?,It makes them feel solemn,It makes them feel jovial,It makes them feel inspired,It makes them feel defiant,NULL
worksheet,1984,11,What writing technique is ëcommanding cornerí?,Simile,Metaphor,Alliteration,Onomatopoeia,NULL
worksheet,1984,12,What effect is created when the writer makes only the posters have colour?,It makes the poster seem even bigger,It makes you feel like you are trapped,It makes the presence of the posters standout,It makes you feel like youíre in the story,NULL
worksheet,1984,13,Why does the writer use the word ëbabblingí to describe the way the telescreen talks?,It makes it sound like a baby and unthreatening,It makes it seem like the telescreen just talks endlessly and randomly,It makes it sound mechanical and robotic,It makes the telescreen sound unintelligent,NULL
worksheet,alice,1,How does Alice find holding the baby?,Tough,Manageable,Intolerable,Effortless,NULL
worksheet,alice,2,The baby is described to keep ìdoubling itself up and straightening itself out againî (line X)?,They are erratic,They are mathematical,They are predictable,They are serene,NULL
worksheet,alice,3,What did Alice first think of the baby after she figured out how to hold it?,She finds it odd,She finds it troublesome,She pities it,She cherishes it,NULL
worksheet,alice,4,Why does Alice hold the baby by its right ear and left foot?,As she cannot tell the difference between them,As this is the only way she can hold it properly,To keep the baby safe,To keep it from sprawling out again,NULL
worksheet,alice,5,"Before grunting, what noise did the baby make?",Laughter,Sobbing,Sneezing,Shouting,NULL
worksheet,alice,6,Why does Alice tell the baby off for grunting?,It is not lady-like to grunt,It is an inappropriate way of communicating,It is a horrible way to talk,It is an insufficient way of expressing itself,NULL
worksheet,alice,7,Why is the word ëveryí in italics? (line X)?,So that readerís know it is about the nose,To emphasise how turned-up the nose is,To emphasise Aliceís shock,To detract the reader from the nose,NULL
worksheet,alice,8,What does Alice mean by ìMind now!î (line X)?,It is another way of saying ìexcuse meî,She is telling the baby to be aware of its situation,She is telling the baby to be careful of the noise,She is asking the baby to pay attention to what sheís saying,NULL
worksheet,alice,9,What does ìit was neither more nor less than a pigî (line X) mean?,It was almost a pig,It was starting to look like a pig,It was a pig,It was difficult to tell if it was a pig or not,NULL
worksheet,alice,10,Why does Alice let the baby down?,She believes that the pig can live on its own,She believes it is silly for her to tend to a pig,She believes that she has already done enough for the baby,She believes it is far too ugly,NULL
worksheet,alice,11,Why is ìI thinkî (line X) used at the end of the sentence instead of the beginning?,It is an afterthought,Alice has speaks before she thinks,Alice initially states a fact but turns it into opinion,Alice is being affected by Wonderland,NULL
worksheet,alice,12,"According to the text, what does Alice think of children?",She thinks they would all be better off as pigs,She thinks that some are irresponsible,She thinks some of them are ugly,She thinks that some need too much care,NULL
worksheet,alice,13,Why is ìCatî capitalised? (line X)?,It shouldnít be because it is not a proper noun,It is the catís name,To emphasise that this is no ordinary cat,To emphasise the Cheshire Cat specifically,NULL
worksheet,alice,14,How does Alice approach the cat?,With delicacy,With might,With caution,With courage,NULL
worksheet,alice,15,Why does Alice speak rather timidly to the Cheshire Cat?,As she is scared of what it might do to her,As she is unsure if she has offended it,As she finds the Cat unapproachable,As she is only good at thinking and not speaking,NULL
worksheet,alice,16,Which word best describes the Cheshire Cat?,Sneaky,Silent,Straight-forward,Friendly,NULL
worksheet,alice,17,Why is a hyphen used at the end of Aliceís speech in line X?,For excitement,As Alice has forgotten what she was going to say,As Alice is cut-off by the Cat,As Alice realizes she is being rude,NULL
worksheet,alice,18,ìThen it doesnít matter where you goî Why does the Cat say this?,"In Wonderland, anywhere will take you everywhere",As Alice is walking around aimlessly,As he does not like Alice so he will not tell,As Alice has no concrete destination,NULL
worksheet,anne,1,At what time of day is this chapter set?,Morning,Noon,Afternoon,Night,NULL
worksheet,anne,2,What season does this story occur in?,Winter,Spring,Summer,Autumn,NULL
worksheet,anne,3,Which word best describes Matthew?,talkative,hardworking,gregarious,shy,NULL
worksheet,anne,4,Which of these must not be true?,Thomas Lynde is married to Mrs. Rachel,Matthew arrived late,"Peter, Mrs Rachel, Matthew and Thomas were in William's store",The girl is talkative,NULL
worksheet,anne,5,Why is Thomas known as ëRachel Lyndeís husbandí (line 4-5)?,He is younger than her,He is in charge of the sowing of her turnip seeds,He is unpopular,He is quiet and not well known,NULL
worksheet,anne,6,What best describes Rachel Lynde's personality?,Bossy,Reticent,Friendly,Curious,NULL
worksheet,anne,7,Which phrase best describes the girl at the station?,nervous and absentminded,patient and attentive,grave and dull,sleepy and expecting,NULL
worksheet,anne,8,Why does the stationmaster whistle?,He is looking forward to go home for supper,He wants to calm Matthew down,He realises that something went wrong,He has no more orphans,NULL
worksheet,anne,9,What is meant by the word 'concealed' (line 35)?,hidden,jumping,talking,tired,NULL
worksheet,anne,10,What is meant by the word 'encountered' (line 24)?,fought,tested,met,saw,NULL
worksheet,anne,11,Which word best describes Matthew's journey to Bright River?,Safe,Exciting,Hurried,Pleasant,NULL
worksheet,anne,12,What technique is used in the phrase 'pearl and purple'?,metaphor,onomatopoeia,personification,alliteration,NULL
worksheet,anne,13,Why did the girl at the station stay outside?,She is a case,The ladies' waiting room was too far away,The ladies' waiting room was more boring,She feared she would miss Matthew,NULL
worksheet,anne,14,What does Matthew think of Marilla?,That she would aid him,That she would hinder him,That she is loud,That she is economical,NULL
worksheet,anne,15,Why did Matthew go to the station?,To pick up Alexander Spencer's daughter,To pick up Alexander Spencer's son,To adopt a girl from the orphan asylum,To adopt a boy from the orphan asylum,NULL
worksheet,anne,16,What does it mean when the stationmaster said the orphan girl has ìa tongue of her ownî?,She is not missing a tongue,She arrived safely from her travels,She speaks for herself,She doesnít say nice things about others,NULL
worksheet,anne,17,What impression do you get of the orphan girl waiting at the station? (3 marks),NULL,NULL,NULL,NULL,NULL
worksheet,anne,18,"ëMatthew Cuthbert comes across as shy and bashful.í Using evidence from the text, write down why you agree or disagree with this statement. (4 marks)",NULL,NULL,NULL,NULL,NULL
worksheet,baskervilles,1,"Mr. Sherlock Holmes, who was usually very late in the mornings, save upon those not infrequent occasions when he was up all night, was seated at the breakfast table. What does this suggest?",The writer does not know the friend's name,It is speech,The writer is quoting someone else,It is exaggeration,NULL
worksheet,baskervilles,2,Where did James Mortimer leave the stick?,Accrued,Familiar,Permitted,Ordered,NULL
worksheet,baskervilles,3,What was it that Watson thought Sherlock could not see him doing?,Vulnerable,Infuriated,Disappointed,Denial,NULL
worksheet,baskervilles,4,Which one of these statements are true?,Greeting,Saying,Response,Replacement,NULL
worksheet,baskervilles,5,"Since we have been so unfortunate as to miss him and have no notion of his errand, this accidental souvenir becomes of importance. What does Sherlock mean when he says this?",Formed is when you meet Settled is when you are friends,Formed is when you judge someone and their character Settled is when you trust someone,Formed is when the friendship is being made Settled is when the friendship is finally made,There is no difference,NULL
worksheet,baskervilles,6,"following as far as I could the methods of my companion, What does this suggest?","Call them a friend C A, B, C","Understand the person D D, B, A",Think about if you would trust that person,Meet the person,NULL
worksheet,baskervilles,7,"Having read the text fully, which of these statements is true about why Sherlock says Good! and Excellent! when he is listening to Watson¬ís guesses?",None at all,Some of them,Most of them,All of them,NULL
worksheet,baskervilles,8,What makes Watson believe the stick to belongs to someone who works in the country?,Your own fault because you judged them wrongly,You own fault because you did not trust them enough,Their fault because they should have been loyal,Their fault because they did not regard you as a friend,NULL
worksheet,baskervilles,9,"It may be that you are not yourself luminous, but you are a conductor of light. Some people without possessing genius have a remarkable power of stimulating it. I confess, my dear fellow, that I am very much in your debt. What does this suggest about Sher",You should not trust yourself with anything you trust with your enemies,You should live while only trusting yourself and not your enemies What does this phrase mean?,You should not trust yourself with anything you wouldn't trust with your enemies,You should live with trust for yourself and for your enemies,NULL
worksheet,baskervilles,10,What was Sherlock indifferent towards?,Extended metaphor,Emotional Language What language device is used here?,Rhetorical question,Hypothetical question,NULL
worksheet,baskervilles,11,Which word best describes how the stick makes Sherlock feel?,Deceitful,Inexperienced,Dangerous,Troubled,NULL
worksheet,baskervilles,12,Why does Watson have a feeling of self-importance?,Enjoying excitement is not natural,Enjoying excitement is not taught What does the writer mean by this?,Enjoying commotion is not hard work,Enjoying commotion is not taught,NULL
worksheet,baskervilles,13,Which one of these statements are True?,Metaphor,Adjective,Adverb,Verb,NULL
worksheet,baskervilles,14,What reason does Sherlock suggest that Dr. Mortimer was presented with the stick?,His friends are grateful for his work,His friends were honouring years of services,They were pledging their good will,The doctor was going to leave the hospital,N/A
worksheet,baskervilles,15,Why could the Dr. not have been on the staff at the hospital?,Because he was not a well-established doctor from London,Because he had left,Because he had a walking condition that needed a stick,It is not clear,N/A
worksheet,baskervilles,16,Which word best replaces the word errand?,Huge task,Chore,Essay,Trip,N/A
worksheet,baskervilles,17,What does deduction mean?,A simple guess,A guess based on information,A solid fact,A long list of questions,N/A
worksheet,baskervilles,18,What does erroneous mean?,It means correct,It means insulting,It means too vague,It means incorrect,N/A
worksheet,black beauty,1,What information is suggested from reading the first paragraph?,The narrator is hardworking,The narrator is intelligent,The narrator is young,The narrator caring,NULL
worksheet,black beauty,2,What is not mentioned as a reason why the narrator considers themselves handsome?,A mark on their forehead,Soft fur,A different colour foot,A sweet looking face,NULL
worksheet,black beauty,3,Why was the narrator not sold until they were four years old?,Making young horses work too early can be bad,The buyer did not have enough money,The seller was attached to his handsome horse,The narrator is only allowed to work after four years old,NULL
worksheet,black beauty,4,What was the purpose of Squire Gordon examining the narrator?,To check if the horse is healthy and of good quality,To ensure the horse is exactly as the master stated,To see the horse for himself,All of the above,NULL
worksheet,black beauty,5,Why did the master want to ëbreak iní the narrator?,"If someone new did it, the narrator might be aggressive to them",Somebody new might be too gentle on the narrator,The master is worried someone else might hurt the narrator,A new person would try to upset the narrator,NULL
worksheet,black beauty,6,Which one definition best describes what ëbreaking iní means?,Teaching a horse to take instructions and carry weight on their back,Teaching a horse how to do tricks and perform on command,"Teaching a horse that when its master calls, it must return from whether it is",Teaching a horse how it must act if it wants to live in society,NULL
worksheet,black beauty,7,What pair of items or tasks were not mentioned as training for ëbreaking iní?,Not jumping for joy when the harness is on nor kicking,No biting nor lying down when tired,Carrying people on their back and not speak to other horses,Wearing a collar and wearing a chain,NULL
worksheet,black beauty,8,What was the narrator already used to as a colt?,Drinking alcohol,The temperature,The ground being comfortable,Being up all night,NULL
worksheet,black beauty,9,How did the master get the narrator to wear the bit and bridle?,"By being caring, gentle and rewarding with oats",By forcing it on the narrator,By threatening the narrator that he would get rid of him,By persuading the narrator cleverly,NULL
worksheet,black beauty,10,What does ìtill I began to look for the oats and the saddleî (line 40-41) suggest about the narrator?,The narrator became greedy for the oats,The narrator eventually wanted the saddle for the oats,The narrator was searching to find the oats and saddle that were hidden,The narrator was tricked to wear the saddle because of the oats,NULL
worksheet,black beauty,11,Which one option best describes the relationship between the master and the narrator?,They care deeply for each other,They are best friends,The narrator cares for the master more,The master is just using the colt,NULL
worksheet,black beauty,12,How did the narrator feel about carrying his master around?,He was immediately proud,It was bizarre and absurd,First it was strange then pleasing,Unfamiliar but then exciting,NULL
worksheet,brazilian,1,What word would best replace the word ëcroniesí line _________?,Teachers,Students,Friends,Cousins,NULL
worksheet,brazilian,2,"How did Father Zahm feel about Dante, history and science?",They found it together,The absolutely loved it,They liked it,They disliked it,NULL
worksheet,brazilian,3,Which one of these statements is false?,Father Zahm went to school in Ohio,Januarius Aloysius MacGahan went to school with Skobeloff,Father Zahm went to a log school,Father Zahm and the narrator know the same people,NULL
worksheet,brazilian,4,What does ìdefender of any small boy who was oppressed by a larger oneî mean?,MacGahan protected others from bullies,MacGahan only protected small boys from big boys,MacGahan would gang up with small boys to bully big boys,MacGahan would oppress small boys as he was a big boy,NULL
worksheet,brazilian,5,Which one of these statements is true?,The narrator knew Maurice Egan while they were at Notre Dame University,Father Zahm went to university in Ohio,Maurice Egan eventually worked for the President,"The narrator liked Dante, history, science and geography",NULL
worksheet,brazilian,6,Why did the narrator not go to South America when Father Zahm asked him?,He did not want to go there,He wanted to go elsewhere,He was too busy,He was not ready to go there yet,NULL
worksheet,brazilian,7,Which one of these statements is true?,The narrator was still the President when Father Zahm came to see him,The narrator had just finished being the President when Father Zahm came to see him,Father Zahm came to see him five years after being President,The narrator finished being the President in 1913,NULL
worksheet,brazilian,8,What does the phrase ìoccurred to meî mean?,Something happened to them,Someone thought of them,Something happened near them,They realised something,NULL
worksheet,brazilian,9,When did the narrator want to go through the middle of the continent?,After taking a trip around the sea of South America,Before going to the Amazon,During his conventional tourist trip,After delivering lectures to the academic clubs,NULL
worksheet,brazilian,10,Where was the American Museum of Natural History?,Andes,Paraguay,Indiana,New York City,NULL
worksheet,brazilian,11,Why did the narrator want to see people at the museum?,For work for the museum,For experts and permission,For experts and to offer work for the museum,For resources and permission,NULL
worksheet,brazilian,12,Where did the narrator find Father Zahm in June?,Back in Ohio,In South America,In Paraguay,In New York City,NULL
worksheet,brazilian,13,How did the narrator feel after meeting Father Zahm again?,Emotional,Stunned,Deflated,Courageous,NULL
worksheet,brazilian,14,Why was Mr Chapman pleased about the narratorís trip to Paraguay?,They did not have many items from that area,It is an area they really like,They did not know anything about that area,It is a really hard area to get to,NULL
worksheet,brazilian,15,Who made the final choice of the naturalists to go with the narrator?,The narrator,Henry Fairfield Osborn,Father Zahm,Mr Chapman,NULL
worksheet,charlottes,1,At what time of day is this chapter set?,Morning,Noon,Afternoon,Evening,NULL
worksheet,charlottes,2,What season does this story occur in?,Winter,Spring,Summer,Autumn,NULL
worksheet,charlottes,3,Which is the most likely reason Fernís mother chooses to say ëdo away with ití instead of ëkill ití?,She doesnít want Fern to be more upset,They mean the same thing,Saying ëkill ití makes what Fernís father is doing sound worse,Because Fernís father is taking it away to the hog-house,NULL
worksheet,charlottes,4,Why does Fern change her sneakers?,They were wet from the rain,They were wet from the grass,They were wet from her crying,Because she went indoors,NULL
worksheet,charlottes,5,Why does John Arable look almost ready to cry?,He is sad that Fern cried,He wishes she would let go of the axe and let him do away with the pig,He realises that killing the pig is unjust,He is sad Fern thinks humans and pigs are the same,NULL
worksheet,charlottes,6,What animal is bacon made from?,Cow,Pig,Sheep,Chicken,NULL
worksheet,charlottes,7,Was Fern certain her father would bring the pig back?,Yes,No,It is not mentioned in the text,NULL,NULL
worksheet,charlottes,8,What does Fernís father think of his decision to let her have the pig?,Unforgivable,Kind,Unwise,Munificent,NULL
worksheet,charlottes,9,What is meant by the word ëinjusticeí (line 26)?,Unfairness,Justice,Murder,Pig-killing,NULL
worksheet,charlottes,10,What is meant by the word ëuntimelyí (line 42)?,Quick,Late,An unsuitable time,A planned time,NULL
worksheet,court life,1,Who did the narrator go to the south of Spain with?,Her brother and the parrot,Her brother and a gentleman from Sevilla,Only her brother,Her brother and her mother,NULL
worksheet,court life,2,Where did the Parrot originally come from?,Sevilla,South of Spain,South America,Republica,NULL
worksheet,court life,3,What causes Spain to become a republic?,There was a revolution,The parrot caused great anger in the public,The family had come from South America,The Spanish werenít fond of South American rulers,NULL
worksheet,court life,4,Which word best describes the parrot?,Uncaring,Sarcastic,Ignorant,Smart,NULL
worksheet,court life,5,"Even after learning to say, ìViva la Republica!î what was one of the issues it had?",It would occasionally fly away,It would infrequently say the wrong thing,It would unintentionally hurt the owner,It would accidentally make a political mistake,NULL
worksheet,court life,6,"Based on the information in the text, when did the King begin his reign?",1868,1874,1869,1876,NULL
worksheet,court life,7,Why does the narrator describe her life as a prison?,It is luxurious,The conditions are very strict,It is gilded,Leaving is restricted,NULL
worksheet,court life,8,"What writing technique is theìimpediment of fetters on the mind,î?",Metaphor,Simile,Personification,Onomatopoeia,NULL
worksheet,court life,9,"What is the effect of the writing technique, ìimpediment of fetters on the mind,î?",It shows how the narrator was a prisoner,It demonstrates how she physically could not leave,It highlights how she was unable to do anything,It showcases how her thoughts and feelings were never free,NULL
worksheet,court life,10,What does ëthe body infantileí mean?,She was still a child,She was acting young,Her body was frail and weak,Her body was beginning to grow,NULL
worksheet,court life,11,What reason was provided by the narrator as for why a revolution may not affect her?,Her ancestors and culture,Her intelligence and youth,Her vigour and spirit,Her beliefs and desire,NULL
worksheet,court life,12,Which line from the text means that royalty have existed because the people want them and also they are defended,ëRace so old and traditions so establishedí,Born to rule as unquestionably,By the consent of society and under the protection of the law,a few families of human beings had been inheriting the thrones of Europe,NULL
worksheet,court life,13,which one of these options was not given as a reason for a king or queen to lose their crown?,bad management,Ill will,Misfortune,Inheritance,NULL
worksheet,dorian,1,In whose residence does this passage take place?,Dorian Grayís,Alan Campbellís,LorHenry Wottonís,"No oneís, it is occurring in public",It is not mentionein thtext
worksheet,dorian,2,Which of the following best describes Alan¬ís initial assessment of Dorian?,His not familiar with him anis thus curious,Hrespects him but isnít particularly interested,His wary of him anlooking out for danger,Hdetests him anwants to turn away from him,His scornful anevaluating
