id,student_id,genre,vocabulary_and_language_complexity,sentence_structure,themes_and_content,overall,question_difficulty,question_type,correct_answer,answer_by_student,exam_hour,attention_level,student_age,student_grade,time_bound,correctness_ratio_by_student
12,1,5,Moderate,Moderate,Moderate,Moderate,2,1,D,B,16,8,8,3,in_time_bound,0.549883991
32,1,5,Moderate,Moderate,Moderate,Moderate,2,1,D,A,16,8,9,4,in_time_bound,0.549883991
23,1,5,Moderate,Moderate,Moderate,Moderate,2,1,D,D,14,2,10,5,in_time_bound,0.549883991
27,7,5,Moderate,Moderate,Moderate,Moderate,2,1,D,A,16,8,9,4,in_time_bound,0.349206349
20,11,5,Moderate,Moderate,Moderate,Moderate,2,1,D,A,16,8,10,5,in_time_bound,0.552763819
31,12,5,Moderate,Moderate,Moderate,Moderate,2,1,D,A,16,8,9,4,in_time_bound,0.557291667
30,15,5,Moderate,Moderate,Moderate,Moderate,2,1,D,A,16,8,9,4,in_time_bound,0.571658615
13,16,5,Moderate,Moderate,Moderate,Moderate,2,1,D,A,16,8,10,5,in_time_bound,0.438461538
26,17,5,Moderate,Moderate,Moderate,Moderate,2,1,D,B,16,8,10,5,in_time_bound,0.608264463
10,19,5,Moderate,Moderate,Moderate,Moderate,2,1,D,B,16,8,10,5,in_time_bound,0.318181818
29,20,5,Moderate,Moderate,Moderate,Moderate,2,1,D,A,16,8,9,4,in_time_bound,0.498896247
25,22,5,Moderate,Moderate,Moderate,Moderate,2,1,D,D,16,8,9,4,in_time_bound,0.604774536
11,25,5,Moderate,Moderate,Moderate,Moderate,2,1,D,C,16,8,10,5,in_time_bound,0.573426573
3,34,5,Moderate,Moderate,Moderate,Moderate,2,1,D,D,3,8,10,5,in_time_bound,0.598802395
4,35,5,Moderate,Moderate,Moderate,Moderate,2,1,D,D,3,8,10,5,in_time_bound,0.26
2,36,5,Moderate,Moderate,Moderate,Moderate,2,1,D,B,3,8,10,5,in_time_bound,0.35
5,37,5,Moderate,Moderate,Moderate,Moderate,2,1,D,C,3,8,10,5,in_time_bound,0.46
7,38,5,Moderate,Moderate,Moderate,Moderate,2,1,D,D,3,8,10,5,in_time_bound,0.28
8,39,5,Moderate,Moderate,Moderate,Moderate,2,1,D,D,3,8,10,5,in_time_bound,0.383333333
