id,student_id,genre,vocabulary_and_language_complexity,sentence_structure,themes_and_content,overall,question_text,question_difficulty,question_type_id,question_type,correct_answer,answer_by_student,exam_hour,attention_level,student_age,student_grade,time_bound,correctness_ratio_by_student,comparison_result
12,1,5,Moderate,Moderate,Moderate,Moderate,The first two lines are repeated four times throughout the poem. What does this  suggest about the bluebird? Option 1: He is determined Option 2: He is a constant bother to the poet. Option 3: He is tough. Option 4: He is monotonous.,2,2,1,D,B,16,8,8,3,in_time_bound,0.549883991,0
32,1,5,Moderate,Moderate,Moderate,Moderate,The first two lines are repeated four times throughout the poem. What does this  suggest about the bluebird? Option 1: He is determined Option 2: He is a constant bother to the poet. Option 3: He is tough. Option 4: He is monotonous.,2,2,1,D,A,16,8,9,4,in_time_bound,0.549883991,0
23,1,5,Moderate,Moderate,Moderate,Moderate,The first two lines are repeated four times throughout the poem. What does this  suggest about the bluebird? Option 1: He is determined Option 2: He is a constant bother to the poet. Option 3: He is tough. Option 4: He is monotonous.,2,2,1,D,D,14,2,10,5,in_time_bound,0.549883991,1
27,7,5,Moderate,Moderate,Moderate,Moderate,The first two lines are repeated four times throughout the poem. What does this  suggest about the bluebird? Option 1: He is determined Option 2: He is a constant bother to the poet. Option 3: He is tough. Option 4: He is monotonous.,2,2,1,D,A,16,8,9,4,in_time_bound,0.349206349,0
20,11,5,Moderate,Moderate,Moderate,Moderate,The first two lines are repeated four times throughout the poem. What does this  suggest about the bluebird? Option 1: He is determined Option 2: He is a constant bother to the poet. Option 3: He is tough. Option 4: He is monotonous.,2,2,1,D,A,16,8,10,5,in_time_bound,0.552763819,0
31,12,5,Moderate,Moderate,Moderate,Moderate,The first two lines are repeated four times throughout the poem. What does this  suggest about the bluebird? Option 1: He is determined Option 2: He is a constant bother to the poet. Option 3: He is tough. Option 4: He is monotonous.,2,2,1,D,A,16,8,9,4,in_time_bound,0.557291667,0
30,15,5,Moderate,Moderate,Moderate,Moderate,The first two lines are repeated four times throughout the poem. What does this  suggest about the bluebird? Option 1: He is determined Option 2: He is a constant bother to the poet. Option 3: He is tough. Option 4: He is monotonous.,2,2,1,D,A,16,8,9,4,in_time_bound,0.571658615,0
13,16,5,Moderate,Moderate,Moderate,Moderate,The first two lines are repeated four times throughout the poem. What does this  suggest about the bluebird? Option 1: He is determined Option 2: He is a constant bother to the poet. Option 3: He is tough. Option 4: He is monotonous.,2,2,1,D,A,16,8,10,5,in_time_bound,0.438461538,0
26,17,5,Moderate,Moderate,Moderate,Moderate,The first two lines are repeated four times throughout the poem. What does this  suggest about the bluebird? Option 1: He is determined Option 2: He is a constant bother to the poet. Option 3: He is tough. Option 4: He is monotonous.,2,2,1,D,B,16,8,10,5,in_time_bound,0.608264463,0
10,19,5,Moderate,Moderate,Moderate,Moderate,The first two lines are repeated four times throughout the poem. What does this  suggest about the bluebird? Option 1: He is determined Option 2: He is a constant bother to the poet. Option 3: He is tough. Option 4: He is monotonous.,2,2,1,D,B,16,8,10,5,in_time_bound,0.318181818,0
29,20,5,Moderate,Moderate,Moderate,Moderate,The first two lines are repeated four times throughout the poem. What does this  suggest about the bluebird? Option 1: He is determined Option 2: He is a constant bother to the poet. Option 3: He is tough. Option 4: He is monotonous.,2,2,1,D,A,16,8,9,4,in_time_bound,0.498896247,0
25,22,5,Moderate,Moderate,Moderate,Moderate,The first two lines are repeated four times throughout the poem. What does this  suggest about the bluebird? Option 1: He is determined Option 2: He is a constant bother to the poet. Option 3: He is tough. Option 4: He is monotonous.,2,2,1,D,D,16,8,9,4,in_time_bound,0.604774536,1
11,25,5,Moderate,Moderate,Moderate,Moderate,The first two lines are repeated four times throughout the poem. What does this  suggest about the bluebird? Option 1: He is determined Option 2: He is a constant bother to the poet. Option 3: He is tough. Option 4: He is monotonous.,2,2,1,D,C,16,8,10,5,in_time_bound,0.573426573,0
3,34,5,Moderate,Moderate,Moderate,Moderate,The first two lines are repeated four times throughout the poem. What does this  suggest about the bluebird? Option 1: He is determined Option 2: He is a constant bother to the poet. Option 3: He is tough. Option 4: He is monotonous.,2,2,1,D,D,3,8,10,5,in_time_bound,0.598802395,1
4,35,5,Moderate,Moderate,Moderate,Moderate,The first two lines are repeated four times throughout the poem. What does this  suggest about the bluebird? Option 1: He is determined Option 2: He is a constant bother to the poet. Option 3: He is tough. Option 4: He is monotonous.,2,2,1,D,D,3,8,10,5,in_time_bound,0.26,1
2,36,5,Moderate,Moderate,Moderate,Moderate,The first two lines are repeated four times throughout the poem. What does this  suggest about the bluebird? Option 1: He is determined Option 2: He is a constant bother to the poet. Option 3: He is tough. Option 4: He is monotonous.,2,2,1,D,B,3,8,10,5,in_time_bound,0.35,0
5,37,5,Moderate,Moderate,Moderate,Moderate,The first two lines are repeated four times throughout the poem. What does this  suggest about the bluebird? Option 1: He is determined Option 2: He is a constant bother to the poet. Option 3: He is tough. Option 4: He is monotonous.,2,2,1,D,C,3,8,10,5,in_time_bound,0.46,0
7,38,5,Moderate,Moderate,Moderate,Moderate,The first two lines are repeated four times throughout the poem. What does this  suggest about the bluebird? Option 1: He is determined Option 2: He is a constant bother to the poet. Option 3: He is tough. Option 4: He is monotonous.,2,2,1,D,D,3,8,10,5,in_time_bound,0.28,1
8,39,5,Moderate,Moderate,Moderate,Moderate,The first two lines are repeated four times throughout the poem. What does this  suggest about the bluebird? Option 1: He is determined Option 2: He is a constant bother to the poet. Option 3: He is tough. Option 4: He is monotonous.,2,2,1,D,D,3,8,10,5,in_time_bound,0.383333333,1
9,40,5,Moderate,Moderate,Moderate,Moderate,The first two lines are repeated four times throughout the poem. What does this  suggest about the bluebird? Option 1: He is determined Option 2: He is a constant bother to the poet. Option 3: He is tough. Option 4: He is monotonous.,2,2,1,D,B,3,8,10,5,in_time_bound,0.4,0
6,44,5,Moderate,Moderate,Moderate,Moderate,The first two lines are repeated four times throughout the poem. What does this  suggest about the bluebird? Option 1: He is determined Option 2: He is a constant bother to the poet. Option 3: He is tough. Option 4: He is monotonous.,2,2,1,D,A,3,8,7,3,in_time_bound,0.609756098,0
16,53,5,Moderate,Moderate,Moderate,Moderate,The first two lines are repeated four times throughout the poem. What does this  suggest about the bluebird? Option 1: He is determined Option 2: He is a constant bother to the poet. Option 3: He is tough. Option 4: He is monotonous.,2,2,1,D,C,16,8,10,5,in_time_bound,0.317460317,0
17,54,5,Moderate,Moderate,Moderate,Moderate,The first two lines are repeated four times throughout the poem. What does this  suggest about the bluebird? Option 1: He is determined Option 2: He is a constant bother to the poet. Option 3: He is tough. Option 4: He is monotonous.,2,2,1,D,C,16,8,10,5,in_time_bound,0.333333333,0
18,55,5,Moderate,Moderate,Moderate,Moderate,The first two lines are repeated four times throughout the poem. What does this  suggest about the bluebird? Option 1: He is determined Option 2: He is a constant bother to the poet. Option 3: He is tough. Option 4: He is monotonous.,2,2,1,D,B,16,8,10,5,in_time_bound,0.504132231,0
19,56,5,Moderate,Moderate,Moderate,Moderate,The first two lines are repeated four times throughout the poem. What does this  suggest about the bluebird? Option 1: He is determined Option 2: He is a constant bother to the poet. Option 3: He is tough. Option 4: He is monotonous.,2,2,1,D,D,16,8,10,5,in_time_bound,0.342592593,1
21,57,5,Moderate,Moderate,Moderate,Moderate,The first two lines are repeated four times throughout the poem. What does this  suggest about the bluebird? Option 1: He is determined Option 2: He is a constant bother to the poet. Option 3: He is tough. Option 4: He is monotonous.,2,2,1,D,A,16,8,10,5,in_time_bound,0.222222222,0
22,58,5,Moderate,Moderate,Moderate,Moderate,The first two lines are repeated four times throughout the poem. What does this  suggest about the bluebird? Option 1: He is determined Option 2: He is a constant bother to the poet. Option 3: He is tough. Option 4: He is monotonous.,2,2,1,D,D,14,2,10,5,in_time_bound,0.66,1
24,59,5,Moderate,Moderate,Moderate,Moderate,The first two lines are repeated four times throughout the poem. What does this  suggest about the bluebird? Option 1: He is determined Option 2: He is a constant bother to the poet. Option 3: He is tough. Option 4: He is monotonous.,2,2,1,D,A,14,2,9,4,in_time_bound,0.588235294,0
28,60,5,Moderate,Moderate,Moderate,Moderate,The first two lines are repeated four times throughout the poem. What does this  suggest about the bluebird? Option 1: He is determined Option 2: He is a constant bother to the poet. Option 3: He is tough. Option 4: He is monotonous.,2,2,1,D,D,16,8,9,4,in_time_bound,0.48,1
1,61,5,Moderate,Moderate,Moderate,Moderate,The first two lines are repeated four times throughout the poem. What does this  suggest about the bluebird? Option 1: He is determined Option 2: He is a constant bother to the poet. Option 3: He is tough. Option 4: He is monotonous.,2,2,1,D,C,3,8,10,5,in_time_bound,0.475,0
14,62,5,Moderate,Moderate,Moderate,Moderate,The first two lines are repeated four times throughout the poem. What does this  suggest about the bluebird? Option 1: He is determined Option 2: He is a constant bother to the poet. Option 3: He is tough. Option 4: He is monotonous.,2,2,1,D,D,16,8,10,5,in_time_bound,0.619047619,1
15,63,5,Moderate,Moderate,Moderate,Moderate,The first two lines are repeated four times throughout the poem. What does this  suggest about the bluebird? Option 1: He is determined Option 2: He is a constant bother to the poet. Option 3: He is tough. Option 4: He is monotonous.,2,2,1,D,C,16,8,10,5,in_time_bound,0.26984127,0
55,1,5,Moderate,Moderate,Moderate,Moderate,"In the stanza 1, the poet says that they are too tough for the bluebird. What does this suggest the poet feels?",3,1,2,D,D,14,2,10,5,in_time_bound,0.549883991,1
64,1,5,Moderate,Moderate,Moderate,Moderate,"In the stanza 1, the poet says that they are too tough for the bluebird. What does this suggest the poet feels?",3,1,2,D,D,16,8,9,4,in_time_bound,0.549883991,1
44,1,5,Moderate,Moderate,Moderate,Moderate,"In the stanza 1, the poet says that they are too tough for the bluebird. What does this suggest the poet feels?",3,1,2,D,D,16,8,8,3,in_time_bound,0.549883991,1
59,7,5,Moderate,Moderate,Moderate,Moderate,"In the stanza 1, the poet says that they are too tough for the bluebird. What does this suggest the poet feels?",3,1,2,D,A,16,8,9,4,in_time_bound,0.349206349,0
52,11,5,Moderate,Moderate,Moderate,Moderate,"In the stanza 1, the poet says that they are too tough for the bluebird. What does this suggest the poet feels?",3,1,2,D,C,16,8,10,5,in_time_bound,0.552763819,0
63,12,5,Moderate,Moderate,Moderate,Moderate,"In the stanza 1, the poet says that they are too tough for the bluebird. What does this suggest the poet feels?",3,1,2,D,D,16,8,9,4,in_time_bound,0.557291667,1
62,15,5,Moderate,Moderate,Moderate,Moderate,"In the stanza 1, the poet says that they are too tough for the bluebird. What does this suggest the poet feels?",3,1,2,D,C,16,8,9,4,in_time_bound,0.571658615,0
45,16,5,Moderate,Moderate,Moderate,Moderate,"In the stanza 1, the poet says that they are too tough for the bluebird. What does this suggest the poet feels?",3,1,2,D,D,16,8,10,5,in_time_bound,0.438461538,1
58,17,5,Moderate,Moderate,Moderate,Moderate,"In the stanza 1, the poet says that they are too tough for the bluebird. What does this suggest the poet feels?",3,1,2,D,D,16,8,10,5,in_time_bound,0.608264463,1
42,19,5,Moderate,Moderate,Moderate,Moderate,"In the stanza 1, the poet says that they are too tough for the bluebird. What does this suggest the poet feels?",3,1,2,D,D,16,8,10,5,in_time_bound,0.318181818,1
61,20,5,Moderate,Moderate,Moderate,Moderate,"In the stanza 1, the poet says that they are too tough for the bluebird. What does this suggest the poet feels?",3,1,2,D,D,16,8,9,4,in_time_bound,0.498896247,1
57,22,5,Moderate,Moderate,Moderate,Moderate,"In the stanza 1, the poet says that they are too tough for the bluebird. What does this suggest the poet feels?",3,1,2,D,D,16,8,9,4,in_time_bound,0.604774536,1
43,25,5,Moderate,Moderate,Moderate,Moderate,"In the stanza 1, the poet says that they are too tough for the bluebird. What does this suggest the poet feels?",3,1,2,D,B,16,8,10,5,in_time_bound,0.573426573,0
35,34,5,Moderate,Moderate,Moderate,Moderate,"In the stanza 1, the poet says that they are too tough for the bluebird. What does this suggest the poet feels?",3,1,2,D,D,3,8,10,5,in_time_bound,0.598802395,1
36,35,5,Moderate,Moderate,Moderate,Moderate,"In the stanza 1, the poet says that they are too tough for the bluebird. What does this suggest the poet feels?",3,1,2,D,A,3,8,10,5,in_time_bound,0.26,0
34,36,5,Moderate,Moderate,Moderate,Moderate,"In the stanza 1, the poet says that they are too tough for the bluebird. What does this suggest the poet feels?",3,1,2,D,D,3,8,10,5,in_time_bound,0.35,1
37,37,5,Moderate,Moderate,Moderate,Moderate,"In the stanza 1, the poet says that they are too tough for the bluebird. What does this suggest the poet feels?",3,1,2,D,B,3,8,10,5,in_time_bound,0.46,0
39,38,5,Moderate,Moderate,Moderate,Moderate,"In the stanza 1, the poet says that they are too tough for the bluebird. What does this suggest the poet feels?",3,1,2,D,B,3,8,10,5,in_time_bound,0.28,0
40,39,5,Moderate,Moderate,Moderate,Moderate,"In the stanza 1, the poet says that they are too tough for the bluebird. What does this suggest the poet feels?",3,1,2,D,D,3,8,10,5,in_time_bound,0.383333333,1
